,source,target,direction,intensity,lang_usage
0,1,20,out,1,0
1,1,4,out,1,0
2,1,22,out,1,0
3,1,29,out,0,0
4,1,16,out,0,0
5,1,24,out,4,0
6,1,19,out,3,0
7,1,15,in,3,0
8,1,25,out,4,0
9,1,26,out,3,0
10,1,32,out,2,0
11,1,21,out,1,0
12,1,12,out,2,0
13,1,10,in,4,0
14,1,40,in,3,0
15,1,17,out,0,0
16,1,18,out,4,0
17,1,28,out,2,0
18,1,27,out,3,0
19,1,33,out,1,0
20,1,35,in,4,0
21,1,11,in,4,0
22,1,41,out,2,0
23,1,39,out,3,0
24,1,13,out,1,0
25,1,6,out,2,0
26,1,5,out,3,0
27,1,23,out,2,0
28,1,34,out,4,0
29,1,2,in,3,0
30,1,30,in,5,4
31,1,14,in,5,3
32,1,38,out,1,0
33,1,8,out,5,2
34,1,7,out,1,0
35,1,37,out,0,0
36,1,3,out,3,0
37,1,36,out,0,0
38,1,31,out,3,0
39,2,20,out,1,0
40,2,4,in,5,0
41,2,22,out,1,0
42,2,29,out,3,1
43,2,16,out,2,0
44,2,24,in,1,0
45,2,19,out,3,3
46,2,15,in,4,1
47,2,25,in,2,0
48,2,1,out,3,5
49,2,12,out,1,0
50,2,10,out,2,0
51,2,40,out,2,0
52,2,17,in,1,0
53,2,18,in,1,0
54,2,28,in,5,3
55,2,27,out,1,0
56,2,33,in,3,0
57,2,35,in,4,2
58,2,9,in,1,0
59,2,11,in,2,0
60,2,39,out,4,3
61,2,13,in,0,0
62,2,6,in,5,3
63,2,5,in,1,0
64,2,23,out,1,0
65,2,30,out,3,4
66,2,14,in,3,3
67,2,8,out,0,0
68,2,7,out,0,0
69,2,37,in,4,0
70,2,3,in,2,0
71,2,36,in,1,0
72,2,31,out,3,2
73,3,20,out,4,8
74,3,4,in,1,4
75,3,22,out,2,1
76,3,29,in,0,5
77,3,16,out,1,5
78,3,24,out,2,5
79,3,19,out,1,5
80,3,15,in,5,3
81,3,25,out,4,7
82,3,26,out,3,3
83,3,32,in,5,4
84,3,21,out,4,7
85,3,1,out,2,6
86,3,12,in,3,3
87,3,10,in,2,4
88,3,40,out,4,8
89,3,17,in,2,5
90,3,18,in,3,5
91,3,28,in,1,5
92,3,27,out,5,3
93,3,33,in,3,4
94,3,35,out,5,4
95,3,9,in,1,4
96,3,11,in,2,5
97,3,41,in,2,5
98,3,39,out,1,6
99,3,13,out,3,4
100,3,6,in,2,2
101,3,5,in,4,3
102,3,23,out,1,3
103,3,34,in,3,5
104,3,2,out,2,4
105,3,30,out,1,7
106,3,14,out,2,5
107,3,38,in,0,1
108,3,8,out,4,8
109,3,7,out,1,1
110,3,37,in,2,6
111,3,36,out,2,5
112,3,31,out,1,4
113,4,29,out,3,1
114,4,24,out,3,8
115,4,19,out,1,1
116,4,15,in,4,4
117,4,25,out,3,2
118,4,26,in,2,1
119,4,32,in,3,1
120,4,1,out,1,1
121,4,10,out,1,1
122,4,40,out,2,1
123,4,17,in,3,4
124,4,18,in,0,1
125,4,28,in,1,2
126,4,27,out,3,6
127,4,33,in,0,2
128,4,35,out,2,1
129,4,11,out,2,1
130,4,39,out,1,2
131,4,13,out,3,7
132,4,6,out,1,1
133,4,5,in,1,1
134,4,23,out,0,1
135,4,34,in,4,6
136,4,2,out,3,1
137,4,14,out,1,2
138,4,7,out,1,1
139,4,37,out,2,1
140,4,31,out,4,4
141,5,20,out,2,0
142,5,4,out,2,0
143,5,22,out,5,0
144,5,29,out,3,0
145,5,16,out,1,0
146,5,24,out,3,0
147,5,19,out,3,0
148,5,15,in,5,0
149,5,25,out,5,0
150,5,26,out,5,7
151,5,32,out,5,0
152,5,21,out,0,0
153,5,1,out,3,0
154,5,12,out,5,8
155,5,10,out,3,0
156,5,40,out,5,0
157,5,17,out,2,0
158,5,18,mutual,5,1
159,5,28,out,1,0
160,5,27,out,5,0
161,5,33,in,3,0
162,5,35,in,1,0
163,5,9,out,0,0
164,5,11,in,3,0
165,5,41,out,5,9
166,5,39,out,1,0
167,5,13,out,5,1
168,5,23,in,2,0
169,5,34,out,1,0
170,5,2,out,2,0
171,5,30,out,2,0
172,5,14,in,4,2
173,5,38,out,2,0
174,5,8,out,2,1
175,5,3,out,4,2
176,5,36,in,1,0
177,5,31,out,1,0
178,6,40,mutual,5,3
179,7,20,in,5,1
180,7,29,in,1,0
181,7,16,in,1,0
182,7,24,in,1,0
183,7,15,out,5,0
184,7,25,in,1,0
185,7,26,in,0,0
186,7,21,in,5,1
187,7,1,in,1,0
188,7,12,in,0,0
189,7,10,in,2,0
190,7,40,out,3,0
191,7,17,in,2,0
192,7,9,in,3,0
193,7,11,in,2,0
194,7,41,out,4,0
195,7,23,out,1,0
196,7,34,out,3,0
197,7,2,in,1,0
198,7,14,in,4,0
199,7,8,out,1,0
200,7,3,in,1,0
201,8,24,in,2,0
202,8,25,in,3,4
203,8,1,mutual,5,2
204,8,10,in,2,0
205,8,40,mutual,5,4
206,8,18,out,3,2
207,8,9,in,1,0
208,8,11,in,1,0
209,8,13,out,1,2
210,8,5,in,2,0
211,8,2,in,1,0
212,8,14,mutual,5,3
213,8,3,mutual,3,5
214,9,20,out,2,0
215,9,16,mutual,3,6
216,9,24,mutual,4,2
217,9,15,out,1,0
218,9,32,in,3,5
219,9,21,out,1,0
220,9,1,out,2,0
221,9,10,in,3,0
222,9,40,in,1,0
223,9,18,mutual,3,6
224,9,28,out,1,0
225,9,33,out,1,0
226,9,11,in,2,0
227,9,41,mutual,5,1
228,9,23,mutual,4,1
229,9,34,in,3,2
230,9,2,out,1,0
231,9,30,out,2,0
232,9,14,in,3,0
233,9,38,out,4,0
234,9,7,out,3,0
235,9,37,out,1,0
236,9,36,mutual,3,5
237,10,20,out,4,1
238,10,4,in,1,0
239,10,22,out,0,0
240,10,29,in,1,1
241,10,16,out,3,4
242,10,24,out,5,3
243,10,19,in,0,0
244,10,15,in,3,1
245,10,25,in,3,1
246,10,26,out,1,0
247,10,32,in,3,3
248,10,21,in,1,0
249,10,1,in,2,1
250,10,12,in,2,2
251,10,40,in,1,0
252,10,17,out,0,0
253,10,18,out,3,5
254,10,28,out,1,0
255,10,27,in,3,2
256,10,33,out,1,0
257,10,35,out,1,0
258,10,9,out,5,3
259,10,11,in,4,4
260,10,41,out,3,1
261,10,39,in,2,4
262,10,13,out,2,0
263,10,6,in,2,3
264,10,5,in,2,0
265,10,23,out,3,2
266,10,34,in,3,2
267,10,2,in,1,0
268,10,30,in,1,0
269,10,14,in,2,3
270,10,38,in,3,2
271,10,8,in,3,1
272,10,7,out,1,0
273,10,37,in,2,0
274,10,3,out,1,0
275,10,36,out,3,5
276,10,31,out,1,0
277,11,20,out,3,0
278,11,4,out,3,0
279,11,22,out,3,0
280,11,29,out,3,0
281,11,16,out,3,2
282,11,24,out,3,0
283,11,19,out,3,0
284,11,15,out,3,0
285,11,25,out,3,0
286,11,26,out,3,0
287,11,32,out,3,2
288,11,21,out,3,0
289,11,1,out,3,0
290,11,12,out,3,0
291,11,10,out,3,2
292,11,40,out,3,0
293,11,17,out,3,0
294,11,18,out,3,2
295,11,28,out,3,0
296,11,27,out,3,0
297,11,33,out,3,0
298,11,35,out,3,0
299,11,9,out,3,2
300,11,11,out,3,0
301,11,41,out,3,0
302,11,39,out,3,0
303,11,13,out,3,0
304,11,6,out,3,0
305,11,23,out,3,2
306,11,34,out,3,0
307,11,2,out,3,0
308,11,30,out,3,0
309,11,14,out,3,0
310,11,38,out,3,0
311,11,8,out,3,0
312,11,7,out,3,0
313,11,37,out,3,0
314,11,3,out,3,0
315,11,36,out,3,2
316,11,31,out,3,0
317,12,20,out,1,0
318,12,4,in,1,0
319,12,22,mutual,5,1
320,12,29,out,3,0
321,12,24,out,2,0
322,12,19,out,2,0
323,12,15,out,3,0
324,12,25,mutual,4,0
325,12,26,mutual,5,1
326,12,32,mutual,5,1
327,12,21,out,1,0
328,12,1,in,3,0
329,12,10,out,4,0
330,12,40,mutual,5,1
331,12,17,out,2,0
332,12,18,mutual,5,1
333,12,28,out,3,0
334,12,27,mutual,5,1
335,12,33,mutual,2,0
336,12,35,out,3,0
337,12,9,out,3,0
338,12,11,out,2,0
339,12,41,mutual,4,1
340,12,39,out,1,0
341,12,13,mutual,4,0
342,12,6,out,3,0
343,12,5,mutual,5,1
344,12,23,out,1,0
345,12,34,out,3,0
346,12,2,out,1,0
347,12,14,mutual,4,0
348,12,38,mutual,3,0
349,12,8,in,0,0
350,12,7,out,1,0
351,12,37,out,1,0
352,12,3,mutual,5,0
353,12,31,out,1,0
354,13,20,out,4,0
355,13,4,in,2,0
356,13,22,out,4,0
357,13,29,in,3,0
358,13,16,out,1,0
359,13,24,out,4,0
360,13,19,out,4,0
361,13,15,in,4,0
362,13,25,out,4,0
363,13,26,in,4,0
364,13,32,in,4,0
365,13,1,out,3,0
366,13,12,in,3,0
367,13,10,in,2,0
368,13,40,out,4,0
369,13,17,in,4,0
370,13,18,out,5,0
371,13,28,out,3,0
372,13,27,in,5,0
373,13,33,in,4,0
374,13,35,in,4,0
375,13,11,in,3,0
376,13,39,out,3,0
377,13,6,out,2,0
378,13,5,in,5,0
379,13,34,in,3,0
380,13,2,in,1,0
381,13,30,out,2,0
382,13,14,out,4,0
383,13,8,out,3,0
384,13,37,out,3,0
385,13,3,in,4,0
386,13,36,out,2,0
387,13,31,out,2,0
388,14,20,in,3,0
389,14,4,out,2,0
390,14,22,in,3,0
391,14,29,in,3,0
392,14,24,out,2,0
393,14,19,in,4,3
394,14,15,out,2,0
395,14,25,in,3,0
396,14,26,in,4,0
397,14,32,in,2,0
398,14,21,in,2,0
399,14,1,in,5,4
400,14,12,in,3,0
401,14,10,in,2,0
402,14,40,in,4,0
403,14,17,out,1,0
404,14,18,in,4,1
405,14,28,in,5,4
406,14,27,in,2,1
407,14,33,out,1,0
408,14,35,in,4,4
409,14,9,in,3,1
410,14,11,in,1,0
411,14,41,in,4,0
412,14,39,in,5,3
413,14,13,in,2,0
414,14,6,in,4,3
415,14,5,in,3,0
416,14,34,in,2,0
417,14,2,in,5,1
418,14,30,in,5,5
419,14,38,out,1,0
420,14,8,out,5,4
421,14,7,out,1,0
422,14,37,out,1,0
423,14,3,in,3,0
424,14,31,in,5,4
425,15,20,out,3,0
426,15,4,out,2,2
427,15,22,out,1,0
428,15,29,out,2,3
429,15,16,in,2,0
430,15,24,out,2,2
431,15,19,out,1,0
432,15,25,out,2,0
433,15,26,out,0,0
434,15,32,out,2,0
435,15,21,out,3,0
436,15,1,out,1,2
437,15,12,out,1,0
438,15,10,out,2,0
439,15,40,out,1,0
440,15,17,in,5,3
441,15,18,out,1,0
442,15,28,in,1,0
443,15,27,out,3,3
444,15,33,out,2,0
445,15,35,out,3,0
446,15,9,out,0,0
447,15,11,out,2,0
448,15,41,in,2,0
449,15,39,out,0,0
450,15,13,out,2,3
451,15,6,out,1,0
452,15,5,out,2,0
453,15,23,in,0,0
454,15,34,out,2,2
455,15,2,in,4,0
456,15,30,in,1,2
457,15,14,out,1,1
458,15,38,out,0,0
459,15,8,out,0,0
460,15,7,out,4,0
461,15,37,in,2,0
462,15,3,out,3,1
463,15,36,out,0,0
464,15,31,out,1,0
465,16,22,in,1,0
466,16,15,out,2,0
467,16,21,in,1,0
468,16,10,in,2,7
469,16,40,mutual,5,5
470,16,18,in,3,7
471,16,28,in,3,2
472,16,35,in,3,0
473,16,9,mutual,2,7
474,16,11,in,3,4
475,16,13,out,1,0
476,16,23,in,2,6
477,16,2,in,2,0
478,16,37,in,2,0
479,16,3,in,1,0
480,16,36,mutual,3,5
481,18,4,in,1,0
482,18,22,in,5,0
483,18,29,out,3,0
484,18,16,in,4,4
485,18,24,in,2,0
486,18,19,in,4,0
487,18,15,in,4,0
488,18,25,out,4,0
489,18,26,in,5,0
490,18,32,out,5,0
491,18,21,in,1,0
492,18,1,in,3,2
493,18,12,out,5,0
494,18,10,in,3,5
495,18,40,in,5,0
496,18,17,in,2,0
497,18,28,in,5,0
498,18,27,in,5,0
499,18,33,in,3,0
500,18,35,in,4,0
501,18,9,in,2,5
502,18,11,in,5,3
503,18,41,in,2,0
504,18,39,in,2,0
505,18,13,out,5,0
506,18,6,in,4,0
507,18,5,in,5,0
508,18,23,in,3,4
509,18,34,out,3,0
510,18,2,out,2,0
511,18,30,out,3,0
512,18,14,in,4,0
513,18,38,out,1,0
514,18,8,in,3,0
515,18,7,out,1,0
516,18,37,in,3,0
517,18,3,in,5,0
518,18,36,out,5,0
519,18,31,in,2,0
520,19,4,in,3,0
521,19,22,out,1,0
522,19,29,in,5,2
523,19,24,in,3,0
524,19,15,in,3,0
525,19,25,in,3,0
526,19,26,out,3,0
527,19,32,in,3,0
528,19,21,in,2,0
529,19,1,out,4,3
530,19,12,out,2,0
531,19,10,out,2,0
532,19,40,out,3,0
533,19,17,out,3,0
534,19,18,out,4,0
535,19,28,in,4,3
536,19,27,in,4,2
537,19,33,in,4,0
538,19,35,out,4,3
539,19,9,out,2,0
540,19,11,in,3,0
541,19,41,out,3,0
542,19,39,out,5,4
543,19,13,out,3,0
544,19,6,in,5,3
545,19,5,out,3,0
546,19,23,in,1,0
547,19,34,in,2,0
548,19,2,in,5,3
549,19,30,out,4,3
550,19,14,out,4,3
551,19,8,out,2,0
552,19,7,out,2,0
553,19,37,in,4,0
554,19,3,in,3,0
555,19,31,out,4,3
556,20,4,out,1,0
557,20,22,out,1,0
558,20,29,out,3,2
559,20,16,out,1,0
560,20,24,out,4,0
561,20,19,out,0,0
562,20,15,in,3,0
563,20,25,in,4,3
564,20,26,out,2,0
565,20,32,out,0,0
566,20,21,in,5,3
567,20,1,out,2,0
568,20,12,out,2,0
569,20,10,out,4,1
570,20,40,out,3,3
571,20,17,out,1,0
572,20,18,out,0,0
573,20,28,out,1,0
574,20,27,out,0,0
575,20,33,in,3,2
576,20,35,out,0,0
577,20,9,out,1,0
578,20,11,in,2,0
579,20,41,in,3,0
580,20,39,out,0,0
581,20,13,out,2,0
582,20,6,out,0,0
583,20,5,out,1,0
584,20,23,in,1,0
585,20,34,out,4,3
586,20,2,out,1,0
587,20,30,out,0,0
588,20,14,in,3,0
589,20,38,in,2,0
590,20,8,out,3,4
591,20,7,out,5,3
592,20,37,out,2,2
593,20,3,in,3,4
594,20,36,out,0,0
595,20,31,out,0,0
596,21,20,out,4,3
597,21,4,out,2,6
598,21,29,out,3,0
599,21,16,out,4,1
600,21,24,out,2,4
601,21,19,out,2,1
602,21,15,out,4,1
603,21,25,out,4,4
604,21,26,out,1,1
605,21,32,out,1,2
