;node_id;202_final_x;202conv;202sqr;avgOPI202sq;avgOPI_202;cicle_others_TL;cir_f2fminday;cir_f2fpropL1;cir_f2fpropL2;cir_f2fpropTL;cir_textingminday;cir_textingpropL1;cir_textingpropL2;cir_textingpropTL;cir_voiceminday;cir_voicepropL1;cir_voicepropL2;cir_voicepropTL;cir_writingminday;cir_writingpropL1;cir_writingpropL2;cir_writingpropTL;circle_biolfamily_L1;circle_biolfamily_L2;circle_biolfamily_TL;circle_classmates_L1;circle_classmates_L2;circle_classmates_TL;circle_friends_L1;circle_friends_L2;circle_friends_TL;circle_others_L1;circle_others_L2;circle_partnerwithfamily_L1;circle_partnerwithfamily_L2;circle_partnerwithfamily_TL;circle_teacher_L1;circle_teacher_L2;circle_teacher_TL;context_#daysinTLcountry;context_TLenvironment_stay;context_arrival_TLcountry;context_learningoutofclassminday;context_learntbeforefor#months;context_motivation;group_id;group_late completion;group_questionnaire_order;improv_cult;improv_gmr;improv_listening;improv_overall;improv_pron;improv_reading;improv_voc;improv_writing;interact_classmates;interact_frequency;interaction_groupintegration;living_TLhostfam;living_accommodation;living_communication_L1;living_communication_L2;living_communication_TL;living_flatsharingwith#;living_nonTLhostfam;living_other;living_privatermdorm;living_sharing#L2;living_sharing#TL;living_sharing#sameL1;living_sharingdormroomw#;living_sharingwpartner;living_singleapt;living_sum_flatmates;metric_2nd_L1;metric_Age;metric_English;metric_FLcumulative_wo_AR;metric_FLcumulativecompetence;metric_Gender;metric_L1;metric_eldersiblings;metric_general_cumulativecompet;metric_language@home;metric_level gained;metric_multilingual;metric_postsojournOPI;metric_presojournOPI;metric_sameagedsiblings;metric_sum_FL;metric_sum_languagesfromTLgroup;metric_sum_siblings;metric_targetlanguage;metric_youngersiblings;partner_01;partner_language;partner_stayingwith;partner_talkevery#days;prog202conv;prog202sqr;progOPI202sqr;progOPI_202;psycho_TLcomfort;psycho_TLcourseenjoyment;psycho_TLmistakes;psycho_TLstudyenjoyment;psycho_TLuseoutofclassminday;psycho_attention;psycho_avoidance_BAL2;psycho_fear;psycho_friends_BAL2;psycho_initiative_BAL2;psycho_learninglanguage_BAL2;psycho_listener_BAL2;psycho_mix_BAL2;psycho_motivationdegree;psycho_otherlgsminday;psycho_proficiencyingroup_BAL1;psycho_studytogether;qasid_class;student_number;202_final_y
18;19;97.3;6.4;7.2;6.6;6.2;0.0;240.0;55.0;0.0;45.0;30.0;75.0;5.0;20.0;30.0;90.0;0.0;10.0;20.0;100.0;0.0;0.0;18.3;0.0;0.0;0.0;0.0;10.0;18.3;0.0;25.0;0.0;0.0;18.3;5.0;5.0;0.0;0.0;0.0;37.0;n;17409.0;110.0;24.0;interests & preferences;6;;2.0;4.0;3.0;4.0;3.0;3.0;4.0;4.0;4.0;65.0;4.0;5.0;no;apartment;yes;yes;yes;no;no;no;no;yes;yes;yes;no;yes;yes;1.0;;23.0;6.0;8.0;11.0;male;eng;0.0;17.0;eng;1.0;geo;7.0;6.0;0.0;3.0;1.0;2.0;3.0;2.0;yes;L1;yes;1.0;1.1;0.3;0.4;0.8;4.0;4.0;2.0;4.0;120.0;3.0;1.0;3.0;1.0;3.0;5.0;2.0;5.0;4.0;15.0;1.0;1.0;1;19;97.3
19;20;87.5;5.7;5.4;5.2;5.4;20.0;240.0;60.0;0.0;40.0;30.0;85.0;0.0;15.0;15.0;100.0;0.0;0.0;10.0;100.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;10.0;45.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;37.0;n;17409.0;180.0;16.0;interests & preferences;3;;2.0;3.0;2.0;3.0;4.0;4.0;2.0;4.0;3.0;80.0;3.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;24.0;6.0;7.0;10.0;female;eng;3.0;16.0;eng;1.0;;6.0;5.0;0.0;3.0;1.0;3.0;3.0;0.0;yes;L1;no;1.0;0.8;1.1;0.8;0.6;3.0;3.0;4.0;3.0;45.0;5.0;3.0;3.0;5.0;3.0;3.0;3.0;3.0;2.0;120.0;2.0;4.0;4;20;87.5
20;21;86.9;5.7;5.3;4.7;4.9;0.0;200.0;50.0;0.0;50.0;60.0;40.0;0.0;60.0;30.0;50.0;0.0;50.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;15.0;0.0;15.0;15.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;37.0;n;17409.0;100.0;12.0;interests & preferences;3;;2.0;4.0;3.0;4.0;4.0;3.0;4.0;5.0;4.0;20.0;2.0;2.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;21.0;6.0;0.0;3.0;female;eng;0.0;9.0;eng;3.0;;7.0;4.0;0.0;1.0;1.0;9.0;3.0;9.0;no;;;;1.8;2.2;2.3;2.1;3.0;4.0;5.0;3.0;120.0;2.0;0.0;5.0;0.0;5.0;1.0;2.0;5.0;4.0;120.0;2.0;5.0;4;21;86.9
21;22;82.7;5.4;4.6;4.8;5.2;10.0;240.0;50.0;0.0;50.0;120.0;60.0;0.0;40.0;30.0;100.0;0.0;0.0;60.0;80.0;0.0;20.0;10.0;0.0;0.0;15.0;0.0;30.0;10.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;37.0;n;17409.0;90.0;24.0;work & interests;1;;2.0;4.0;3.0;1.0;3.0;2.0;1.0;2.0;3.0;70.0;4.0;5.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;7.0;;22.0;6.0;0.0;3.0;female;eng;7.0;9.0;eng;1.0;;6.0;5.0;0.0;1.0;1.0;7.0;3.0;0.0;yes;L1;no;1.0;1.1;1.9;1.2;0.8;2.0;1.0;3.0;3.0;90.0;4.0;5.0;2.0;4.0;0.0;1.0;5.0;1.0;2.0;60.0;3.0;1.0;5;22;82.7
22;23;95.4;6.3;6.8;5.4;5.1;4.5;180.0;70.0;0.0;30.0;100.0;40.0;35.0;25.0;20.0;97.5;2.5;0.0;60.0;70.0;15.0;15.0;10.0;0.0;0.0;5.0;0.0;3.75;20.5;7.5;15.0;17.5;0.0;0.0;0.0;0.0;5.0;0.0;3.75;37.0;n;17409.0;160.0;26.0;interests & preferences;5;;2.0;4.0;4.0;2.0;3.0;2.0;3.0;3.0;4.0;75.0;;;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;21.0;6.0;5.0;7.5;female;eng;1.0;13.5;eng;1.0;;5.0;4.0;0.0;2.0;1.0;3.0;2.5;2.0;no;;;;-0.8;-1.3;-0.4;-0.1;1.0;4.0;3.0;4.0;120.0;5.0;5.0;5.0;4.0;3.0;2.0;5.0;3.0;4.0;45.0;3.0;3.0;2;23;95.4
23;24;88.7;5.8;5.6;6.3;6.4;5.0;480.0;40.0;0.0;60.0;20.0;90.0;0.0;10.0;120.0;100.0;0.0;0.0;20.0;95.0;0.0;5.0;10.0;0.0;0.0;0.0;0.0;15.0;5.0;0.0;15.0;15.0;0.0;15.0;0.0;0.0;15.0;0.0;5.0;37.0;n;17409.0;130.0;20.0;personal reasons (unspecified);4;;2.0;3.0;3.0;3.0;4.0;3.0;4.0;3.0;3.0;40.0;5.0;5.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;23.0;6.0;0.0;3.0;female;eng;0.0;9.0;eng;0.0;;7.0;7.0;0.0;1.0;1.0;3.0;3.0;3.0;yes;L1;no;1.0;1.7;1.9;0.7;0.6;3.0;4.0;1.0;3.0;60.0;2.0;3.0;4.0;4.0;4.0;1.0;2.0;4.0;3.0;180.0;2.0;1.0;3;24;88.7
24;25;87.4;5.7;5.4;5.7;5.9;5.0;360.0;70.0;0.0;30.0;60.0;85.0;0.0;15.0;20.0;100.0;0.0;0.0;30.0;60.0;0.0;40.0;40.0;0.0;0.0;10.0;0.0;12.5;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;37.0;n;17409.0;60.0;36.0;work & interests;3;;2.0;4.0;3.0;4.0;2.0;4.0;2.0;4.0;3.0;70.0;3.0;4.0;no;apartment;yes;no;yes;yes;no;no;no;no;yes;yes;no;no;no;7.0;;22.0;6.0;2.0;5.0;female;eng;0.0;11.0;eng;1.0;spa;7.0;6.0;0.0;2.0;1.0;3.0;3.0;3.0;no;;;;1.8;2.1;1.3;1.1;3.0;5.0;4.0;4.0;30.0;4.0;1.0;2.0;5.0;4.0;3.0;3.0;4.0;4.0;120.0;3.0;1.0;4;25;87.4
25;26;79.9;5.2;4.2;4.1;4.6;0.0;;80.0;0.0;20.0;;90.0;0.0;10.0;;95.0;0.0;5.0;;90.0;0.0;10.0;10.0;0.0;0.0;10.0;0.0;10.0;30.0;0.0;15.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;37.0;n;17409.0;200.0;18.0;work;1;;2.0;4.0;4.0;2.0;3.0;3.0;2.0;4.0;3.0;70.0;3.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;7.0;;20.0;6.0;0.0;3.0;female;eng;10.0;9.0;eng;2.0;;6.0;4.0;0.0;1.0;1.0;11.0;3.0;1.0;no;;;;1.3;2.3;1.9;1.4;1.0;4.0;3.0;5.0;90.0;5.0;2.0;0.0;4.0;2.0;0.0;5.0;1.0;5.0;0.0;3.0;2.0;6;26;79.9
26;27;89.2;5.8;5.7;6.4;6.4;0.0;360.0;65.0;0.0;35.0;10.0;75.0;0.0;25.0;15.0;40.0;0.0;60.0;5.0;90.0;0.0;10.0;0.0;0.0;0.0;25.0;0.0;15.0;0.0;0.0;25.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;37.0;y;17409.0;200.0;16.0;work & interests;4;;2.0;3.0;1.0;2.0;3.0;2.0;4.0;3.0;1.0;60.0;4.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;;22.0;6.0;7.0;10.0;male;eng;1.0;16.0;eng;1.0;;8.0;7.0;0.0;3.0;1.0;6.0;3.0;5.0;no;;;;2.7;2.8;1.6;1.6;4.0;3.0;2.0;5.0;120.0;3.0;3.0;3.0;3.0;2.0;4.0;3.0;3.0;3.0;0.0;2.0;2.0;3;27;89.2
27;28;99.0;6.5;7.5;6.3;5.7;0.0;240.0;50.0;0.0;50.0;20.0;25.0;0.0;75.0;15.0;90.0;0.0;10.0;30.0;0.0;0.0;100.0;5.0;0.0;0.0;20.0;0.0;7.5;0.0;0.0;50.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;37.0;n;17409.0;20.0;12.0;interests & preferences;6;1.0;2.0;5.0;1.0;4.0;1.0;3.0;4.0;3.0;4.0;30.0;3.0;4.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;19.0;6.0;2.0;5.0;male;eng;5.0;14.0;eng;1.0;;6.0;5.0;0.0;2.0;1.0;5.0;3.0;0.0;no;;no;;0.0;-1.0;-0.3;0.3;3.0;3.0;5.0;5.0;120.0;4.0;2.0;3.0;5.0;3.0;4.0;5.0;3.0;4.0;60.0;1.0;1.0;1;28;99.0
28;29;91.2;6.0;6.1;6.0;6.0;0.0;400.0;45.0;5.0;50.0;45.0;85.0;0.0;15.0;30.0;90.0;0.0;10.0;30.0;85.0;5.0;10.0;5.0;0.0;0.0;0.0;0.0;10.0;20.0;0.0;15.0;5.0;0.0;15.0;5.0;0.0;0.0;0.0;10.0;37.0;n;17409.0;180.0;20.0;culture;4;;2.0;3.0;1.0;4.0;3.0;3.0;4.0;4.0;3.0;;;3.0;no;apartment;yes;yes;yes;yes;no;no;no;yes;?;yes;no;yes;no;1.0;;22.0;6.0;5.0;8.0;female;eng;2.0;14.0;eng;1.0;;7.0;6.0;0.0;2.0;1.0;4.0;3.0;2.0;yes;L1;yes;1.0;1.5;1.4;1.0;1.0;4.0;4.0;3.0;3.0;95.0;4.0;2.0;2.0;4.0;1.0;3.0;2.0;3.0;2.0;10.0;2.0;1.0;3;29;91.2
29;30;97.3;6.4;7.2;6.6;6.2;0.0;200.0;50.0;0.0;50.0;20.0;15.0;0.0;85.0;5.0;100.0;0.0;0.0;30.0;50.0;0.0;50.0;5.0;0.0;0.0;10.0;0.0;0.0;30.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;37.0;n;17409.0;200.0;16.0;study;6;;2.0;3.0;2.0;3.0;3.0;3.0;4.0;3.0;4.0;30.0;3.0;3.0;no;apartment;yes;no;yes;yes;no;no;no;no;yes;yes;no;no;no;4.0;;24.0;6.0;0.0;3.0;male;eng;0.0;9.0;eng;2.0;;8.0;6.0;0.0;1.0;1.0;3.0;3.0;3.0;no;;no;;2.1;1.3;1.4;1.8;3.0;4.0;2.0;4.0;120.0;3.0;3.0;2.0;4.0;2.0;3.0;4.0;1.0;4.0;180.0;;2.0;1;30;97.3
30;31;94.7;6.2;6.7;6.3;6.1;25.0;240.0;60.0;0.0;40.0;100.0;70.0;0.0;30.0;70.0;95.0;0.0;5.0;60.0;90.0;0.0;10.0;5.0;0.0;0.0;0.0;0.0;5.0;25.0;0.0;20.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;37.0;n;17409.0;100.0;23.0;work;6;1.0;2.0;4.0;4.0;4.0;4.0;3.0;5.0;3.0;4.0;18.0;3.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;spa;22.0;6.0;5.0;8.0;male;eng;1.0;14.0;eng;2.0;spa;8.0;6.0;0.0;2.0;1.0;3.0;3.0;2.0;yes;L1;no;1.0;2.3;1.8;1.7;1.9;4.0;4.0;5.0;5.0;120.0;4.0;3.0;2.0;3.0;3.0;4.0;5.0;3.0;5.0;240.0;1.0;1.0;2;31;94.7
31;32;92.7;6.1;6.3;6.2;6.0;0.0;120.0;25.0;0.0;75.0;30.0;75.0;0.0;25.0;;100.0;0.0;0.0;15.0;100.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;8.75;40.0;15.0;17.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.75;37.0;n;17409.0;120.0;18.0;work;5;;2.0;5.0;4.0;5.0;4.0;4.0;1.0;3.0;3.0;40.0;4.0;4.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;;23.0;6.0;9.0;12.0;male;eng;3.0;18.0;eng;2.0;;8.0;6.0;1.0;3.0;1.0;4.0;3.0;0.0;no;;no;;2.4;2.2;1.8;2.0;3.0;2.0;5.0;4.0;15.0;5.0;1.0;0.0;5.0;3.0;4.0;3.0;4.0;4.0;30.0;2.0;4.0;2;32;92.7
32;33;75.7;5.0;3.6;4.3;5.0;0.0;420.0;60.0;5.0;35.0;30.0;97.5;0.0;2.5;15.0;100.0;0.0;0.0;90.0;100.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;10.0;30.0;5.0;5.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;10.0;37.0;n;17409.0;270.0;20.0;culture;2;;2.0;4.0;1.0;4.0;3.0;2.0;4.0;3.0;2.0;60.0;5.0;4.0;no;apartment;yes;no;no;yes;no;no;no;no;?;yes;no;yes;yes;1.0;;25.0;6.0;3.0;6.0;male;eng;0.0;12.0;eng;1.0;;6.0;5.0;0.0;2.0;1.0;3.0;3.0;3.0;yes;L1;yes;1.0;1.5;2.9;1.7;1.0;2.0;4.0;2.0;4.0;120.0;0.0;0.0;0.0;2.0;4.0;0.0;2.0;5.0;3.0;360.0;2.0;3.0;6;33;75.7
33;34;92.1;6.0;6.2;5.6;5.5;0.0;120.0;60.0;0.0;40.0;40.0;60.0;5.0;15.0;20.0;100.0;0.0;0.0;20.0;100.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;12.5;35.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;37.0;y;17409.0;60.0;12.0;culture;4;1.0;2.0;3.0;3.0;2.0;;2.0;3.0;3.0;3.0;60.0;4.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;7.0;;23.0;6.0;3.0;5.0;female;eng;0.0;11.0;eng;2.0;;7.0;5.0;0.0;2.0;1.0;2.0;2.0;2.0;yes;L1;no;1.0;1.5;1.3;1.4;1.5;2.0;1.0;1.0;4.0;60.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;4.0;5.0;120.0;2.0;3.0;3;34;92.1
34;35;96.0;6.3;6.9;7.0;6.6;0.0;120.0;95.0;0.0;5.0;20.0;95.0;0.0;5.0;10.0;100.0;0.0;0.0;20.0;95.0;0.0;5.0;42.5;0.0;0.0;0.0;0.0;0.0;42.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;37.0;n;17409.0;60.0;24.0;work;6;;2.0;1.0;0.0;0.0;3.0;1.0;3.0;3.0;1.0;90.0;2.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;;24.0;6.0;5.0;8.5;male;eng;2.0;14.5;eng;1.0;;8.0;7.0;0.0;2.0;1.0;3.0;3.5;1.0;no;;no;;2.2;1.6;1.0;1.4;2.0;4.0;4.0;1.0;10.0;5.0;4.0;3.0;5.0;3.0;2.0;5.0;2.0;1.0;0.0;1.0;0.0;1;35;96.0
35;36;94.0;6.2;6.6;6.3;6.1;0.0;400.0;25.0;2.5;72.5;65.0;40.0;5.0;55.0;10.0;50.0;30.0;20.0;35.0;50.0;0.0;50.0;22.5;2.5;0.0;0.0;0.0;25.0;22.5;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;37.0;n;17409.0;300.0;9.0;interests & preferences;5;;2.0;2.0;1.0;2.0;;4.0;1.0;1.0;2.0;70.0;2.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;23.0;6.0;6.0;10.0;male;eng;2.0;16.0;eng;3.0;;9.0;6.0;0.0;2.0;1.0;4.0;4.0;2.0;no;;no;;3.3;2.9;2.7;2.9;2.0;1.0;3.0;4.0;120.0;3.0;5.0;0.0;4.0;1.0;3.0;3.0;1.0;2.0;10.0;1.0;0.0;2;36;94.0
36;37;83.0;5.4;4.7;5.3;5.7;12.5;360.0;57.5;2.5;40.0;20.0;57.5;0.0;42.5;15.0;50.0;0.0;50.0;45.0;40.0;0.0;60.0;2.5;0.0;0.0;27.5;0.0;12.5;0.0;0.0;12.5;0.0;0.0;20.0;0.0;0.0;0.0;0.0;12.5;37.0;n;17409.0;160.0;20.0;culture;2;1.0;2.0;2.0;2.0;3.0;3.0;4.0;2.0;3.0;3.0;75.0;3.0;5.0;no;apartment;yes;yes;no;no;no;no;no;yes;no;yes;no;yes;yes;1.0;;23.0;6.0;5.5;8.0;male;eng;0.0;14.0;eng;1.0;;7.0;6.0;0.0;4.0;2.0;4.0;2.5;4.0;yes;L1;yes;1.0;2.1;2.8;1.7;1.3;3.0;4.0;3.0;5.0;75.0;2.0;1.0;1.0;3.0;4.0;2.0;2.0;4.0;4.0;300.0;2.0;5.0;5;37;83.0
37;38;83.0;5.4;4.7;4.8;5.2;0.0;;50.0;0.0;50.0;;;;;;;;;;27.5;0.0;72.5;5.0;0.0;0.0;0.0;0.0;20.0;5.0;0.0;20.0;25.0;5.0;0.0;0.0;0.0;0.0;0.0;20.0;37.0;y;17409.0;300.0;8.0;study;2;1.0;2.0;3.0;3.0;1.0;3.0;2.0;2.0;3.0;3.0;60.0;4.0;3.0;no;apartment;yes;no;yes;yes;no;no;no;no;yes;yes;no;no;no;7.0;;;6.0;6.0;9.0;female;eng;2.0;15.0;eng;2.0;;7.0;5.0;0.0;3.0;1.0;3.0;3.0;1.0;no;;;;2.1;2.8;2.2;1.8;3.0;3.0;4.0;5.0;120.0;5.0;3.0;0.0;3.0;3.0;3.0;3.0;3.0;5.0;180.0;3.0;2.0;5;38;83.0
38;39;98.0;6.4;7.3;6.7;6.2;5.0;480.0;50.0;5.0;45.0;30.0;55.0;5.0;40.0;30.0;85.0;10.0;5.0;45.0;7.5;27.5;7.5;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;15.0;0.0;0.0;25.0;5.0;0.0;0.0;0.0;35.0;37.0;y;17409.0;150.0;52.0;culture;6;;2.0;3.0;2.0;2.0;3.0;4.0;4.0;4.0;3.0;60.0;4.0;4.0;no;apartment;yes;yes;no;yes;no;no;no;yes;no;yes;no;yes;yes;1.0;;22.0;6.0;9.0;13.0;male;eng;0.0;19.0;eng;3.0;;9.0;6.0;0.0;3.0;1.0;3.0;4.0;3.0;yes;L1;yes;1.0;3.1;2.2;2.3;2.8;5.0;5.0;4.0;5.0;130.0;1.0;0.0;0.0;1.0;3.0;4.0;2.0;5.0;4.0;10.0;1.0;0.0;1;39;98.0
39;40;87.8;5.8;5.5;5.2;5.4;0.0;440.0;70.0;0.0;30.0;120.0;85.0;0.0;15.0;120.0;100.0;0.0;0.0;60.0;100.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;15.0;60.0;0.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;n;17409.0;120.0;24.0;culture;3;;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;80.0;4.0;3.0;no;apartment;yes;no;yes;yes;no;no;no;no;yes;yes;no;no;yes;7.0;;22.0;6.0;0.0;3.0;female;eng;0.0;9.0;eng;2.0;;7.0;5.0;0.0;1.0;1.0;2.0;3.0;2.0;yes;L1;no;1.0;1.7;2.0;1.8;1.6;3.0;5.0;5.0;5.0;20.0;5.0;2.0;4.0;5.0;4.0;4.0;3.0;5.0;5.0;60.0;2.0;1.0;3;40;87.8
40;41;61.0;4.0;1.6;2.8;4.0;0.0;180.0;0.0;65.0;35.0;55.0;15.0;55.0;30.0;65.0;80.0;0.0;20.0;;;;;5.0;0.0;0.0;0.0;0.0;0.0;15.0;50.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;n;17409.0;60.0;29.0;study;1;;2.0;3.0;4.0;1.0;2.0;1.0;2.0;1.0;4.0;35.0;5.0;5.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;cmn;29.0;6.0;6.0;8.0;male;chi;0.0;14.0;chi;1.0;;5.0;4.0;0.0;2.0;1.0;3.0;2.0;3.0;no;;;;1.5;3.9;2.2;1.0;3.0;4.0;5.0;5.0;90.0;4.0;3.0;0.0;4.0;2.0;3.0;3.0;2.0;5.0;210.0;3.0;2.0;6;41;61.0
